id,first_name,last_name,State,Product,Month,NRx,TRx
234,Mia,Churching,Kansas,Cholecap,1,11,97
235,Wilfred,Kervin,Minnesota,Cholecap,1,19,66
236,Mallory,Coram,Ohio,Cholecap,1,9,167
237,Cyrus,Eltune,North Carolina,Cholecap,1,11,45
238,Saleem,Goodding,Indiana,Cholecap,1,17,98
239,Corliss,Golden of Ireland,Florida,Cholecap,1,8,121
240,Skipper,Lording,Illinois,Cholecap,1,9,119
241,Freida,Whiterod,District of Columbia,Cholecap,1,14,58
242,Alexi,Slowgrove,California,Cholecap,1,12,169
243,Nehemiah,Extil,Minnesota,Cholecap,1,14,46
244,Bridie,Antonchik,Pennsylvania,Cholecap,1,11,157
245,Morgen,Raiman,Massachusetts,Cholecap,1,6,146
246,Menard,Donaldson,North Carolina,Cholecap,1,15,31
247,Dael,MacVanamy,Nevada,Cholecap,1,18,93
248,Nobie,Swetland,North Carolina,Cholecap,1,15,192
249,Alonzo,Kyneton,California,Cholecap,1,14,123
250,Therese,Craddy,Louisiana,Cholecap,1,1,60
251,Abba,Pietruschka,Pennsylvania,Cholecap,1,12,104
252,Roseline,Gloy,California,Cholecap,1,7,69
253,Wally,Shipston,Ohio,Cholecap,1,5,50
254,Ugo,Kerwen,California,Cholecap,1,15,28
255,Myrtia,Lendon,Indiana,Cholecap,1,20,138
256,Shea,Abele,Virginia,Cholecap,1,0,144
257,Bartram,Stot,Florida,Cholecap,1,13,28
258,Ber,Durling,Utah,Cholecap,1,18,55
259,Fabe,Poge,Nevada,Cholecap,1,16,20
260,Karita,Lyven,New York,Cholecap,1,11,67
261,Kristoffer,Braganca,New York,Cholecap,1,8,148
262,Norine,Greenland,Texas,Cholecap,1,9,91
263,Walker,MacInherney,California,Cholecap,1,10,137
264,Karil,Grinyer,New York,Cholecap,1,8,133
265,Lyda,Kestian,Colorado,Cholecap,1,3,108
266,Web,Barkly,Texas,Cholecap,1,9,56
267,Delora,Heasman,Florida,Cholecap,1,12,98
268,Hilliard,Yurkiewicz,Maryland,Cholecap,1,10,62
269,Tillie,Callan,Virginia,Cholecap,1,17,154
270,Pat,Truelock,Texas,Cholecap,1,1,149
271,Hashim,Samsworth,Virginia,Cholecap,1,11,172
272,Sindee,Egan,Pennsylvania,Cholecap,1,19,80
273,Lotty,Callen,Florida,Cholecap,1,3,122
274,Prentiss,Premble,Missouri,Cholecap,1,3,74
275,Herman,Stonner,Pennsylvania,Cholecap,1,7,2
276,Burnaby,Mennithorp,Mississippi,Cholecap,1,4,34
277,Sosanna,Ginty,Pennsylvania,Cholecap,1,4,104
278,Missy,Kiefer,District of Columbia,Cholecap,1,9,103
279,Rosina,Jesper,Ohio,Cholecap,1,15,38
280,Bartholemy,Wesley,Massachusetts,Cholecap,1,19,10
281,Conny,Rydings,New York,Cholecap,1,11,172
282,Becka,Gilpin,South Carolina,Cholecap,1,20,27
283,Georgeanne,Thirlaway,Kentucky,Cholecap,1,8,199
284,Alwyn,MacCawley,Colorado,Cholecap,1,2,166
285,Martin,Peret,District of Columbia,Cholecap,1,4,78
286,Colette,March,Missouri,Cholecap,1,11,100
287,Molli,Kytley,Florida,Cholecap,1,8,100
288,Estrella,Roden,Utah,Cholecap,1,2,54
289,Antonia,Dickin,Alabama,Cholecap,1,16,22
290,Tessie,Vasiltsov,Wisconsin,Cholecap,1,17,54
291,Mycah,Ashburner,Wisconsin,Cholecap,1,20,176
292,Levin,Maclaine,California,Cholecap,1,1,184
293,Iona,Sandcroft,Louisiana,Cholecap,1,18,154
294,Maddi,Hanssmann,New York,Cholecap,1,0,168
295,Robinia,Oades,Arizona,Cholecap,1,0,68
296,Shawna,Simon,Minnesota,Cholecap,1,17,191
297,Far,Joburn,Tennessee,Cholecap,1,10,163
298,Jenifer,Eudall,Ohio,Cholecap,1,16,5
299,Belva,Tubble,Florida,Cholecap,1,6,127
300,Agretha,Jancy,New York,Cholecap,1,15,184
301,Carie,Kingsnode,Iowa,Cholecap,1,1,142
302,Loleta,Everington,California,Cholecap,1,19,46
303,Sonny,Field,Florida,Cholecap,1,2,170
304,Claresta,Boorn,Missouri,Cholecap,1,13,21
305,Teddie,Markovic,California,Cholecap,1,7,69
306,Borg,Marwood,Connecticut,Cholecap,1,18,187
307,Wells,Fraine,Michigan,Cholecap,1,19,38
308,Yancey,Lared,California,Cholecap,1,15,82
309,Donella,Sandham,New York,Cholecap,1,3,38
310,Aurea,Font,Colorado,Cholecap,1,12,32
311,Kirstyn,Peschmann,Alaska,Cholecap,1,10,191
312,Lian,Boarleyson,Colorado,Cholecap,1,0,22
313,Renate,Waterstone,Massachusetts,Cholecap,1,11,95
314,Cacilia,Farren,South Carolina,Cholecap,1,4,170
315,Lou,Skillington,California,Cholecap,1,19,193
316,Isacco,Crampton,New York,Cholecap,1,13,134
317,Stacy,Yeatman,Florida,Cholecap,1,4,175
318,Ursulina,Spooner,District of Columbia,Cholecap,1,12,196
319,Rinaldo,De La Hay,Texas,Cholecap,1,18,59
320,Massimiliano,Bradford,North Carolina,Cholecap,1,3,170
321,Tisha,Bader,Connecticut,Cholecap,1,19,139
322,Catherina,Darey,New York,Cholecap,1,8,83
323,Niko,Rawstorn,Oklahoma,Cholecap,1,9,49
324,Valeria,Munro,Florida,Cholecap,1,18,105
325,Roz,Clineck,Texas,Cholecap,1,18,182
326,Raimund,Figin,California,Cholecap,1,14,142
327,Celestia,McPhail,Iowa,Cholecap,1,2,153
328,Richmound,McGeady,Texas,Cholecap,1,16,54
329,Mirelle,Kennagh,Florida,Cholecap,1,11,194
330,Jonah,Oswal,Minnesota,Cholecap,1,7,121
331,Debbi,Osborne,New York,Cholecap,1,14,176
332,Jaymee,Gonnard,New York,Cholecap,1,9,167
333,Jerrome,Bernardes,Ohio,Cholecap,1,17,190
334,Costanza,Letson,Arizona,Cholecap,1,6,0
335,Shelbi,Fordy,New York,Cholecap,1,6,149
336,Karlen,Andretti,Alabama,Cholecap,1,10,119
337,Matthiew,Rawcliffe,Georgia,Cholecap,1,17,155
338,Nadean,Northedge,California,Cholecap,1,11,65
339,My,Gladwish,New York,Cholecap,1,3,55
340,Betty,Twizell,Mississippi,Cholecap,1,9,98
341,Lawrence,Sparey,Louisiana,Cholecap,1,12,130
342,Tina,Legendre,Indiana,Cholecap,1,14,57
343,Atlanta,Chiverstone,Ohio,Cholecap,1,9,2
344,Arleen,Spada,Florida,Cholecap,1,13,110
345,Licha,McGarrell,South Carolina,Cholecap,1,7,125
346,Muffin,Aubin,New York,Cholecap,1,15,197
347,Tabina,Caudrelier,Virginia,Cholecap,1,19,83
348,Lolita,Brevetor,Georgia,Cholecap,1,17,173
349,Jenn,Fysh,Utah,Cholecap,1,6,28
350,Amaleta,Macquire,Illinois,Cholecap,1,2,200
351,Henka,Roches,Minnesota,Zap-a-Pain,1,8,185
352,Wyn,Biaggiotti,Maryland,Zap-a-Pain,1,15,192
353,Dewey,Helder,Florida,Zap-a-Pain,1,13,173
354,Dorris,Brafield,Louisiana,Zap-a-Pain,1,0,184
355,Doris,Fullilove,Delaware,Zap-a-Pain,1,6,85
356,Ingrid,Messer,Texas,Zap-a-Pain,1,19,90
357,Alano,Adams,Florida,Zap-a-Pain,1,13,51
358,Barb,Huriche,Louisiana,Zap-a-Pain,1,6,192
359,Prissie,Benham,New York,Zap-a-Pain,1,12,113
360,Aubrey,Lyddiard,Texas,Zap-a-Pain,1,2,92
361,Levy,Inkpin,Florida,Zap-a-Pain,1,11,75
362,Xavier,Pascoe,Illinois,Zap-a-Pain,1,9,3
363,Jamesy,Soares,Illinois,Zap-a-Pain,1,2,4
364,Zorah,Axleby,Tennessee,Zap-a-Pain,1,13,134
365,Nobie,Le Port,Florida,Zap-a-Pain,1,5,97
366,Maxim,Windless,California,Zap-a-Pain,1,20,1
367,Bren,Frood,Missouri,Zap-a-Pain,1,15,79
368,Brendon,Richards,Nebraska,Zap-a-Pain,1,8,154
369,Kelcey,Lonie,Texas,Zap-a-Pain,1,7,189
370,Mack,Pavkovic,Oregon,Zap-a-Pain,1,4,118
371,Whitman,Duiged,California,Zap-a-Pain,1,9,27
372,Dorian,Reeme,Indiana,Zap-a-Pain,1,6,186
373,Nicoli,Briffett,Colorado,Zap-a-Pain,1,13,183
374,Wheeler,Capes,California,Zap-a-Pain,1,4,69
375,Lucine,Beaten,New York,Zap-a-Pain,1,16,102
376,Dorri,Amys,Utah,Zap-a-Pain,1,1,5
377,Karil,Antoszczyk,West Virginia,Zap-a-Pain,1,9,32
378,Arlee,Sowrey,Virginia,Zap-a-Pain,1,3,28
379,Zaria,Lidgley,Louisiana,Zap-a-Pain,1,16,29
380,Shem,Kither,Ohio,Zap-a-Pain,1,6,170
381,Molli,Kurth,Texas,Zap-a-Pain,1,10,145
382,Ramsay,Pettendrich,Florida,Zap-a-Pain,1,12,198
383,Noelle,Glazebrook,Colorado,Zap-a-Pain,1,7,140
384,Kikelia,Whale,Indiana,Zap-a-Pain,1,6,92
385,Vince,Fagge,Indiana,Zap-a-Pain,1,13,110
386,Jolynn,Polhill,New Jersey,Zap-a-Pain,1,10,70
387,Kit,de Guerre,New York,Zap-a-Pain,1,5,53
388,Boony,Vann,New York,Zap-a-Pain,1,19,164
389,Pancho,Devenny,Arkansas,Zap-a-Pain,1,1,10
390,Mischa,Hebblewhite,Florida,Zap-a-Pain,1,0,58
391,Shea,Sarten,District of Columbia,Zap-a-Pain,1,3,160
392,Sherwin,Pittman,Oklahoma,Zap-a-Pain,1,17,50
393,Rustin,Kleynermans,Arizona,Zap-a-Pain,1,17,139
394,Benny,Goodoune,Indiana,Zap-a-Pain,1,8,61
395,Sarah,Wilkowski,New York,Zap-a-Pain,1,12,23
396,Benjy,Silverson,Texas,Zap-a-Pain,1,7,182
397,Clarice,Howard,North Carolina,Zap-a-Pain,1,19,151
398,Adelice,Biagioni,Missouri,Zap-a-Pain,1,5,98
399,Oralla,Vise,Pennsylvania,Zap-a-Pain,1,5,28
400,Dot,Rozycki,California,Zap-a-Pain,1,2,31
401,Tymon,Chiese,California,Zap-a-Pain,1,2,8
402,Adeline,Hellier,New York,Zap-a-Pain,1,7,100
403,Lane,Crut,California,Zap-a-Pain,1,20,82
404,Alison,Chippin,Minnesota,Zap-a-Pain,1,17,140
405,Rita,Sherreard,Florida,Zap-a-Pain,1,3,64
406,Veronique,Drewry,Louisiana,Zap-a-Pain,1,14,12
407,Sheri,Batchellor,Virginia,Zap-a-Pain,1,10,58
408,Rosabella,Berthe,Ohio,Zap-a-Pain,1,10,175
409,Rea,Quartly,District of Columbia,Zap-a-Pain,1,20,26
410,Roselia,Cuttelar,Washington,Zap-a-Pain,1,1,17
411,Filberte,Mordin,Texas,Zap-a-Pain,1,16,103
412,Ethelda,Brandreth,Texas,Zap-a-Pain,1,1,164
413,Hayward,Barclay,Virginia,Zap-a-Pain,1,5,97
414,Regan,Poker,Arkansas,Zap-a-Pain,1,5,27
415,Nanine,Monckman,Kentucky,Zap-a-Pain,1,13,168
416,Eugine,Simcock,Louisiana,Zap-a-Pain,1,1,94
417,Vivie,Durrant,Indiana,Zap-a-Pain,1,16,102
418,Allsun,Erb,Indiana,Zap-a-Pain,1,19,108
419,Heddi,Liveing,Indiana,Zap-a-Pain,1,7,177
420,Alix,Bitchener,Georgia,Zap-a-Pain,1,3,117
421,Justen,Dring,Texas,Zap-a-Pain,1,15,183
422,Calida,Devine,Tennessee,Zap-a-Pain,1,19,107
423,Claudine,Kempstone,Utah,Zap-a-Pain,1,16,121
424,Gary,Stilgoe,Florida,Zap-a-Pain,1,5,85
425,Faydra,Brimilcombe,California,Zap-a-Pain,1,14,83
426,Britte,Braven,North Carolina,Zap-a-Pain,1,19,104
427,Harmony,Peltz,New York,Zap-a-Pain,1,7,130
428,Nyssa,Taphouse,Florida,Zap-a-Pain,1,10,107
429,Sybila,Pirkis,Georgia,Zap-a-Pain,1,1,133
430,Geoffrey,D'Souza,California,Zap-a-Pain,1,0,116
431,Arin,Schubert,Georgia,Zap-a-Pain,1,20,68
432,Ketty,Breffitt,California,Zap-a-Pain,1,18,25
433,Puff,Tatterton,Pennsylvania,Zap-a-Pain,1,11,70
434,Frank,Matitiaho,California,Zap-a-Pain,1,17,70
435,Adria,Ayscough,Virginia,Zap-a-Pain,1,15,188
436,Franny,Segeswoeth,Texas,Zap-a-Pain,1,11,0
437,Bobby,Seebert,Nebraska,Zap-a-Pain,1,6,157
438,Maighdiln,Conrath,New York,Zap-a-Pain,1,3,137
439,Bev,Merrell,Maryland,Zap-a-Pain,1,15,15
440,Hamid,Bordiss,Texas,Zap-a-Pain,1,14,64
441,Hoebart,Karran,Illinois,Zap-a-Pain,1,17,143
442,Glendon,Axe,Ohio,Zap-a-Pain,1,5,167
443,Keelia,Leethem,Arkansas,Zap-a-Pain,1,14,177
444,Wandie,O' Liddy,Georgia,Zap-a-Pain,1,18,5
445,Barbaraanne,Juszczyk,Alaska,Zap-a-Pain,1,20,147
446,Ricardo,Spira,Virginia,Zap-a-Pain,1,19,132
447,Gigi,Ashburne,California,Zap-a-Pain,1,17,181
448,Gothart,Skelton,Ohio,Zap-a-Pain,1,20,139
449,Garret,Grumble,California,Zap-a-Pain,1,16,25
450,Aveline,Muriel,Texas,Zap-a-Pain,1,17,77
451,Rosabelle,Newlands,Alabama,Zap-a-Pain,1,15,174
452,Giustina,Iwanicki,Colorado,Zap-a-Pain,1,5,93
453,Clim,Stanbury,Arizona,Zap-a-Pain,1,5,10
454,Cross,Lashbrook,Florida,Zap-a-Pain,1,0,44
455,Rochester,Catterson,Illinois,Zap-a-Pain,1,0,85
456,Vassily,Feaks,Wisconsin,Zap-a-Pain,1,4,177
457,Tim,Lafond,District of Columbia,Zap-a-Pain,1,4,113
458,Cassandry,Houseago,Wisconsin,Zap-a-Pain,1,18,42
459,Kendall,Rippin,New York,Zap-a-Pain,1,7,167
460,Gaven,Trevillion,Colorado,Zap-a-Pain,1,18,104
461,Helaine,Thaim,Utah,Zap-a-Pain,1,9,38
462,Bambie,Harce,Virginia,Zap-a-Pain,1,3,74
463,Willey,Goodbourn,Louisiana,Zap-a-Pain,1,1,186
464,Sloane,Hallworth,Virginia,Zap-a-Pain,1,19,47
465,Ruprecht,Feragh,Ohio,Zap-a-Pain,1,11,23
